Borough,Date,Neighborhood,Test Positive Rate,Total Positive Cases,Total Tested Cases,ZIPCODE,zcta_cum.perc_pos
Queens,2020-04-03,West Queens,0.723779855,697,963,11372,72.38
Queens,2020-04-03,West Queens,0.6842961759999999,841,1229,11373,68.43
Queens,2020-04-03,West Central Queens,0.610787172,419,686,11374,61.08
Queens,2020-04-03,West Central Queens,0.5333969470000001,559,1048,11375,53.34
Queens,2020-04-03,West Queens,0.619735259,515,831,11377,61.97
Queens,2020-04-03,West Queens,0.560906516,198,353,11378,56.09
Queens,2020-04-03,West Central Queens,0.552631579,252,456,11379,55.26
Queens,2020-04-03,West Central Queens,0.593535749,606,1021,11385,59.35
Queens,2020-04-03,Southeast Queens,0.702970297,213,303,11411,70.3
Queens,2020-04-03,Jamaica,0.628158845,348,554,11412,62.82
Queens,2020-04-03,Southeast Queens,0.63592233,393,618,11413,63.59
Queens,2020-04-03,Southwest Queens,0.548628429,220,401,11414,54.86
Queens,2020-04-03,Southwest Queens,0.591054313,185,313,11415,59.11
Queens,2020-04-03,Southwest Queens,0.649193548,161,248,11416,64.92
Queens,2020-04-03,Southwest Queens,0.6036745410000001,230,381,11417,60.37
Queens,2020-04-03,Southwest Queens,0.61814346,293,474,11418,61.81
Queens,2020-04-03,Southwest Queens,0.58,261,450,11419,58.0
Queens,2020-04-03,Southwest Queens,0.6,339,565,11420,60.0
Queens,2020-04-03,Southwest Queens,0.6194690270000001,280,452,11421,61.95
Queens,2020-04-03,Southeast Queens,0.644680851,303,470,11422,64.47
Queens,2020-04-03,Jamaica,0.64921466,248,382,11423,64.92
Queens,2020-04-03,Southeast Queens,0.528089888,141,267,11426,52.81
Queens,2020-04-03,Southeast Queens,0.5825,233,400,11427,58.25
Queens,2020-04-03,Southeast Queens,0.662698413,167,252,11428,66.27
Queens,2020-04-03,Jamaica,0.667496887,536,803,11434,66.75
Queens,2020-04-03,Jamaica,0.630098453,448,711,11432,63.01
Queens,2020-04-03,Jamaica,0.656976744,226,344,11433,65.7
Queens,2020-04-03,Jamaica,0.5979532160000001,409,684,11435,59.8
Queens,2020-04-03,Jamaica,0.668292683,137,205,11436,66.83
Queens,2020-04-03,Rockaways,0.6652267820000001,616,926,11691,66.52
Queens,2020-04-03,Rockaways,0.630081301,155,246,11692,63.01
Queens,2020-04-03,Rockaways,0.613756614,116,189,11693,61.38
Queens,2020-04-03,Rockaways,0.538681948,188,349,11694,53.87
Queens,2020-04-03,Rockaways,0.422535211,30,71,11697,42.25
Manhattan,2020-04-04,Chelsea and Clinton,0.45482866,146,321,10001,45.48
Manhattan,2020-04-04,Lower East Side,0.498538012,341,684,10002,49.85
Manhattan,2020-04-04,Lower East Side,0.426724138,198,464,10003,42.67
Manhattan,2020-04-04,Lower Manhattan,0.444444444,20,45,10004,44.44
Manhattan,2020-04-04,Lower Manhattan,0.294736842,28,95,10005,29.47
Manhattan,2020-04-04,Lower Manhattan,0.25,7,28,10006,25.0
Manhattan,2020-04-04,Lower Manhattan,0.3717948720000001,29,78,10007,37.18
Manhattan,2020-04-04,Lower East Side,0.43545611,253,581,10009,43.55
Manhattan,2020-04-04,Gramercy Park and Murray Hill,0.345930233,119,344,10010,34.59
Manhattan,2020-04-04,Chelsea and Clinton,0.4635416670000001,267,576,10011,46.35
Manhattan,2020-04-04,Greenwich Village and Soho,0.368663594,80,217,10012,36.87
Manhattan,2020-04-04,Greenwich Village and Soho,0.450184502,122,271,10013,45.02
Manhattan,2020-04-04,Greenwich Village and Soho,0.470588235,168,357,10014,47.06
